Frame,X(cm),Y(cm)
509,44.0682,11.5321
510,44.0334,11.565
511,43.9986,11.5321
512,43.9986,11.6307
513,43.9986,11.6635
514,44.0334,11.6964
515,43.9986,11.7292
516,43.9986,11.7621
517,43.9986,11.8278
518,43.9986,11.7621
519,43.9986,11.8607
520,43.9638,11.9264
521,43.929,12.0906
522,43.8941,12.1235
523,43.9986,11.9921
524,43.8941,12.2549
525,43.9986,12.0906
526,43.8593,12.2549
527,43.9986,12.1563
528,43.8941,12.3206
529,43.8941,12.1892
530,43.8593,12.3863
531,43.9986,12.2878
532,43.8593,12.452
533,43.8593,12.4849
534,43.8593,12.5178
535,43.8245,12.5835
536,43.8593,12.5835
537,43.8593,12.5835
538,43.7549,12.6492
539,43.8941,12.6492
540,43.8593,12.682
541,43.7549,12.4849
542,43.7201,12.4849
543,43.7201,12.4849
544,43.7897,12.5178
545,43.7897,12.6163
546,43.7897,12.682
547,43.8941,12.7149
548,43.8941,12.7149
549,43.929,12.7149
550,43.929,12.7477
551,43.8941,12.7149
552,43.8245,12.8792
553,43.9638,12.7806
554,43.9638,12.8463
555,44.0334,12.8463
556,43.9638,12.8134
557,44.0334,12.912
558,43.9638,13.0106
559,43.9638,13.0106
560,43.929,13.0763
561,43.9638,13.0763
562,43.9638,13.1091
563,43.929,13.142
564,43.929,13.1749
565,43.929,13.1749
566,43.929,13.1749
567,43.929,13.2077
568,43.929,13.2734
569,43.8941,13.3063
570,43.8941,13.3391
571,43.8593,13.372
572,43.8593,13.372
573,43.8593,13.4048
574,43.8593,13.4377
575,43.8245,13.4705
576,43.8245,13.4705
577,43.8245,13.5034
578,43.8245,13.5363
579,43.8245,13.5691
580,43.8245,13.602
581,43.8245,13.6348
582,43.8245,13.6348
583,43.8245,13.7005
584,43.8245,13.7005
585,43.8245,13.7334
586,43.8593,13.7334
587,43.8593,13.7662
588,43.8593,13.7991
589,43.8593,13.7991
590,43.8593,13.832
591,43.8593,13.8977
592,43.8245,13.9305
593,43.8593,13.9634
594,43.8593,13.9962
595,43.8593,13.9962
596,43.8593,14.0291
597,43.8593,14.0291
598,43.8593,14.0619
599,43.8593,14.0948
600,43.8593,14.0948
601,43.8593,14.1276
602,43.8941,14.1276
603,43.8593,14.1605
604,43.8245,14.1934
605,43.8245,14.2262
606,43.8593,14.2262
607,43.7897,14.2591
608,43.7897,14.2591
609,43.7897,14.2591
610,43.7549,14.2591
611,43.7549,14.3248
612,43.7201,14.3248
613,43.6853,14.3576
614,43.6505,14.3905
615,43.6157,14.3905
616,43.5461,14.3905
617,43.4764,14.3905
618,43.4416,14.3576
619,43.4416,14.3576
620,43.3372,14.3248
621,43.2676,14.3248
622,43.198,14.3248
623,43.0935,14.3905
624,43.0935,14.3576
625,43.0587,14.3248
626,42.9891,14.3248
627,42.9195,14.2591
628,42.8499,14.2919
629,42.9195,14.2591
630,42.7803,14.2919
631,42.8151,14.2919
632,42.7106,14.3248
633,42.6062,14.3576
634,42.467,14.4562
635,42.4322,14.4562
636,42.3626,14.5548
637,42.3277,14.5548
638,42.3277,14.5876
639,42.2929,14.5876
640,42.2929,14.5876
641,42.2233,14.5876
642,42.2233,14.5876
643,42.0841,14.6205
644,42.0493,14.6205
645,41.9797,14.6205
646,41.3879,14.6533
647,41.3531,14.5876
648,41.2139,14.5548
649,41.179,14.5219
650,41.1442,14.5876
651,41.0746,14.5219
652,40.9702,14.5548
653,40.9354,14.5548
654,40.9006,14.5219
655,40.831,14.5548
656,40.7613,14.5548
657,40.7265,14.5876
658,40.6569,14.6205
659,40.5873,14.6862
660,40.5525,14.719
661,40.4829,14.7519
662,40.4481,14.7847
663,40.4132,14.7847
664,40.3784,14.8505
665,40.2392,14.8505
666,40.2044,14.8176
667,40.1,14.8505
668,40.0303,14.7519
669,39.8563,14.719
670,39.8215,14.6533
671,39.7519,14.5876
672,39.6475,14.4891
673,39.543,14.4891
674,39.369,14.2919
675,39.369,14.3248
676,39.2994,14.2262
677,39.1601,14.1276
678,39.1253,14.1276
679,38.9861,14.0291
680,38.9165,13.9962
681,38.9513,14.2262
682,38.7772,14.2262
683,38.8817,14.1605
684,38.6728,14.1276
685,38.7076,14.0948
686,38.638,14.0619
687,38.3943,13.9305
688,38.3595,13.9962
689,38.2899,14.0291
690,38.1855,13.9305
691,38.0462,13.7005
692,38.0114,13.6677
693,38.0114,13.832
694,37.9418,13.7334
695,37.907,13.7334
696,37.7678,13.5691
697,37.8722,13.6348
698,37.7678,13.4705
699,37.8374,13.5034
700,37.8374,13.5034
701,37.907,13.372
702,37.8722,13.142
703,37.8722,13.0434
704,37.6633,13.0763
705,37.6633,13.0106
706,37.6633,12.8463
707,37.6633,12.912
708,37.8722,12.8463
709,37.8374,12.9449
710,37.6633,12.7477
711,37.5937,12.682
712,37.6285,12.6492
713,37.5241,12.6492
714,37.6981,12.4849
715,37.6981,12.3863
716,37.6285,12.3206
717,37.6285,12.2878
718,37.5589,12.2878
719,37.6633,12.1892
720,37.6981,12.1235
721,37.6633,12.0906
722,37.6981,12.0578
723,37.6633,11.9592
724,37.733,11.9264
725,37.6633,11.9592
726,37.6981,11.8278
727,37.6633,11.6635
728,37.6981,11.7949
729,37.6981,11.7292
730,37.7678,11.5321
731,37.8374,11.4664
732,37.8722,11.4664
733,37.9418,11.335
734,38.081,11.4992
735,37.8722,11.5321
